Time,Previous Trend,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2019-06-17 01:00:00.000000,0,1,1,0,1,1
2019-06-18 01:00:00.000000,1,1,1,0,1,0
2019-06-19 01:00:00.000000,0,1,1,0,0,0
2019-06-20 01:00:00.000000,0,1,1,0,0,0
2019-06-21 01:00:00.000000,0,0,1,0,1,1
2019-06-24 01:00:00.000000,1,0,1,0,0,0
2019-06-25 01:00:00.000000,0,0,1,0,1,0
2019-06-26 01:00:00.000000,0,1,0,0,1,0
2019-06-27 01:00:00.000000,0,1,0,0,0,0
2019-06-28 01:00:00.000000,0,1,0,0,1,1
