Time,Previous Trend,Yesterday Close to Today Open,Open to Moving Average,Open to 52 Wk Average,Volume to Moving Average,Buy
2019-06-17 01:00:00.000000,0,1,1,1,1,1
2019-06-18 01:00:00.000000,1,1,1,1,0,1
2019-06-19 01:00:00.000000,1,1,1,1,0,1
2019-06-20 01:00:00.000000,1,1,1,1,0,1
2019-06-21 01:00:00.000000,1,0,1,1,0,0
2019-06-24 01:00:00.000000,0,1,1,1,0,0
2019-06-25 01:00:00.000000,0,1,1,1,0,0
2019-06-26 01:00:00.000000,0,1,1,1,0,0
2019-06-27 01:00:00.000000,0,1,0,1,1,1
2019-06-28 01:00:00.000000,1,1,0,1,1,1
2019-07-01 01:00:00.000000,1,1,1,1,0,1
2019-07-02 01:00:00.000000,1,0,1,1,0,0
2019-07-03 01:00:00.000000,0,1,1,1,0,1
2019-07-05 01:00:00.000000,1,0,1,1,0,0
2019-07-08 01:00:00.000000,0,0,1,1,1,0
2019-07-09 01:00:00.000000,0,0,1,1,0,1
2019-07-10 01:00:00.000000,1,1,1,1,0,0
2019-07-11 01:00:00.000000,0,1,1,1,0,0
2019-07-12 01:00:00.000000,0,1,1,1,0,1
2019-07-15 01:00:00.000000,1,1,1,1,0,0
2019-07-16 01:00:00.000000,0,1,1,1,0,0
2019-07-17 01:00:00.000000,0,1,1,1,0,0
2019-07-18 01:00:00.000000,0,1,1,1,0,1
2019-07-19 01:00:00.000000,1,1,1,1,1,0
2019-07-22 01:00:00.000000,0,1,1,1,0,1
2019-07-23 01:00:00.000000,1,1,1,1,0,1
2019-07-24 01:00:00.000000,1,0,1,1,1,1
2019-07-25 01:00:00.000000,1,1,1,1,1,1
2019-07-26 01:00:00.000000,1,1,1,1,1,0
2019-07-29 01:00:00.000000,0,0,1,1,1,1
2019-07-30 01:00:00.000000,1,0,1,1,0,1
2019-07-31 01:00:00.000000,1,1,1,1,1,0
2019-08-01 01:00:00.000000,0,1,1,1,0,0
2019-08-02 01:00:00.000000,0,0,1,1,1,0
2019-08-05 01:00:00.000000,0,0,0,1,1,0
2019-08-06 01:00:00.000000,0,1,0,1,1,1
2019-08-07 01:00:00.000000,1,0,0,1,0,1
2019-08-08 01:00:00.000000,1,1,1,1,1,0
2019-08-09 01:00:00.000000,0,0,1,1,1,1
2019-08-12 01:00:00.000000,1,0,1,1,1,0
2019-08-13 01:00:00.000000,0,0,1,1,1,0
2019-08-14 01:00:00.000000,0,0,1,1,1,1
2019-08-15 01:00:00.000000,1,1,1,1,1,1
2019-08-16 01:00:00.000000,1,1,1,1,1,1
2019-08-19 01:00:00.000000,1,1,1,1,1,0
2019-08-20 01:00:00.000000,0,0,1,1,1,0
2019-08-21 01:00:00.000000,0,1,1,1,0,0
2019-08-22 01:00:00.000000,0,1,1,1,0,0
2019-08-23 01:00:00.000000,0,0,1,1,0,0
2019-08-26 01:00:00.000000,0,1,1,1,0,0
2019-08-27 01:00:00.000000,0,1,1,1,1,0
2019-08-28 01:00:00.000000,0,0,1,1,0,1
2019-08-29 01:00:00.000000,1,1,1,1,0,1
2019-08-30 01:00:00.000000,1,1,1,1,0,0
2019-09-03 01:00:00.000000,0,0,1,1,1,0
2019-09-04 01:00:00.000000,0,1,1,1,0,1
2019-09-05 01:00:00.000000,1,1,1,1,0,0
2019-09-06 01:00:00.000000,0,1,1,1,0,1
2019-09-09 01:00:00.000000,1,1,1,1,0,0
2019-09-10 01:00:00.000000,0,0,1,1,1,0
2019-09-11 01:00:00.000000,0,1,0,1,1,0
2019-09-12 01:00:00.000000,0,1,0,1,1,1
2019-09-13 01:00:00.000000,1,1,1,1,0,0
2019-09-16 01:00:00.000000,0,0,0,1,0,1
2019-09-17 01:00:00.000000,1,0,0,1,1,1
2019-09-18 01:00:00.000000,1,1,1,1,0,0
2019-09-19 01:00:00.000000,0,1,1,1,0,0
2019-09-20 01:00:00.000000,0,0,1,1,1,0
2019-09-23 01:00:00.000000,0,0,0,1,0,1
2019-09-24 01:00:00.000000,1,1,0,1,0,0
2019-09-25 01:00:00.000000,0,0,0,1,0,1
2019-09-26 01:00:00.000000,1,1,0,1,0,1
