Time,Volume,Day Open,Day Close,Normalized Day Change,Normalized Volume to Moving Average,Normalized Open to Moving Average,Normalized Open (52wk High/Low),Normalized Yesterday Close to Today Open,Past First Derivative,Past Average Normalized Open to Close,Past Second Derivative,Buy
2019-06-24,7206194,1.21,1.09,-0.09917355371900817,0.5,0.5,0.9564763231197771,0,0,0,0,0
2019-06-25,4916917,1.09,1.07,-0.018348623853211024,0.4055821150198163,0.47391304347826096,0.8520194986072424,0.0,-0.034999999999999996,0.4335447833899847,0,1
2019-06-26,6494221,1.07,1.14,0.06542056074766339,0.5232399304046359,0.47626112759643924,0.8346100278551533,0.0,-0.011249999999999996,0.4613325931134519,0.049999999999999996,0
2019-06-27,4736330,1.13,1.1,-0.02654867256637151,0.40561775707809766,0.5022222222222221,0.8868384401114205,0.008771929824561412,-0.005833333333333332,0.4598492100933049,0.0475,1
2019-06-28,8807287,1.11,1.14,0.027027027027026848,0.6846258641186241,0.4946524064171123,0.8694289693593316,-0.009090909090909097,-0.003124999999999999,0.46550969982819834,0.015,0
2019-07-01,4168556,1.17,1.17,0.0,0.3442289676118626,0.5176991150442477,0.9216573816155988,-0.026315789473684237,0.002000000000000001,0.46472966537142496,0.01875,0
2019-07-02,3897168,1.15,1.11,-0.034782608695652015,0.3390806890741374,0.5075662042875156,0.9042479108635096,0.01709401709401711,-0.001666666666666666,0.4621270885907895,0.012,1
2019-07-03,3007886,1.1,1.11,0.009090909090909097,0.2782853411318478,0.4872646733111849,0.860724233983287,0.009009009009009016,-0.003214285714285714,0.4644802501359884,0.006666666666666665,1
2019-07-05,5624732,1.09,1.16,0.06422018348623838,0.5180446437505611,0.48468379446640314,0.8520194986072424,0.018018018018018032,-0.0015624999999999992,0.46975596928621616,0.009285714285714284,0
2019-07-08,2833600,1.15,1.15,0.0,0.27408024054990465,0.510204081632653,0.9042479108635096,0.008620689655172422,6.264279218805137e-19,0.4692920002645713,0.011874999999999998,0
2019-07-09,2487248,1.13,1.13,0.0,0.2524885364358331,0.5012096774193547,0.8868384401114205,0.008620689655172422,0.0043749999999999995,0.4771922174885382,0.0012500000000000007,0
2019-07-10,3467357,1.13,1.13,0.0,0.3608854407136782,0.5011086474501107,0.8868384401114205,0.017391304347826105,0.0015625,0.4772571115489846,-0.004375000000000001,1
2019-07-11,4840046,1.13,1.15,0.017699115044247805,0.5034651386991666,0.5010231923601637,0.8868384401114205,0.0,0.0009374999999999996,0.4719877066061769,0.0018749999999999995,1
2019-07-12,2736806,1.15,1.16,0.008695652173913052,0.2937191798375662,0.5091714104996837,0.9042479108635096,0.0,0.0009374999999999996,0.4745959486510387,-0.0006250000000000001,0
2019-07-15,2362760,1.16,1.15,-0.008620689655172422,0.2621905349168069,0.5126694166175604,0.9129526462395542,0.0,-0.0009375000000000002,0.4725532578835602,0.0006249999999999994,0
2019-07-16,2838255,1.14,1.14,0.0,0.3224128216421121,0.503589177250138,0.8955431754874651,0.0,0.0015624999999999999,0.47227590679975745,0.0018749999999999995,1
2019-07-17,1436246,1.13,1.14,0.008849557522123902,0.16988335176296984,0.49922037422037424,0.8868384401114205,0.008695652173913052,0.0021875,0.4745845836574454,-0.0006250000000000002,0
2019-07-18,3684971,1.12,1.08,-0.03571428571428574,0.4389972252880276,0.4950884086444008,0.8781337047353761,0.008771929824561412,0.0006249999999999997,0.47383191952449955,-0.00375,0
2019-07-19,22407502,0.98,0.8967,-0.08499999999999992,2.1731740490406515,0.4362699156513589,0.7562674094707521,0.01754385964912263,-0.003125,0.4672617491013003,-0.0024999999999999996,0
2019-07-22,19717880,0.94,0.8179,-0.12989361702127658,1.675665100238577,0.4219030520646319,0.7214484679665738,0.09259259259259267,-0.011978125,0.4670243623135259,-0.005206249999999999,0
2019-07-23,18205123,0.83,0.7867,-0.05216867469879519,1.4068140444726203,0.37710947641713544,0.6256963788300836,-0.048288167726106716,-0.015690625,0.4651401628824991,-0.007631249999999999,1
2019-07-24,17861977,0.786,0.8355,0.0629770992366412,1.2780209820715571,0.3618178774690325,0.5873955431754875,-0.014793984594693728,-0.020728125,0.4710627536792529,-0.00395625,0
2019-07-25,14274219,0.852,0.8179,-0.04002347417840378,0.9770270393088746,0.3959107806691449,0.6448467966573816,0.0008897928053895041,-0.021515625000000003,0.48314639150220906,0.0024687500000000013,0
2019-07-26,11245395,0.83,0.79,-0.04819277108433726,0.752793354336724,0.38939713816561106,0.6256963788300836,-0.019748653500897616,-0.020003125,0.4888993731241445,-0.0015062499999999993,0
2019-07-29,13316275,0.8098,0.7505,-0.07322795752037543,0.864356639509154,0.3836053024503748,0.6081128133704735,-0.014793984594693728,-0.020625,0.49626124319093257,-0.0024999999999999983,1
2019-07-30,8702478,0.75,0.7914,0.05519999999999999,0.5620710407623499,0.35927746538039196,0.5560584958217271,-0.025063291139240416,-0.022178125,0.5020936289315645,-0.004331249999999999,1
2019-07-31,7579938,0.7954,0.7955,0.00012572290671358937,0.48994758705351293,0.3844135294201882,0.5955779944289694,0.000666222518321046,-0.020581250000000002,0.5155277745459917,0.0050875,0
2019-08-01,16010590,0.7996,0.7238,-0.09479739869934965,0.9967994684098099,0.38960351932286447,0.599233983286908,-0.005054334091483452,-0.00893125,0.5271060473694593,0.005212499999999998,0
2019-08-02,8646872,0.732,0.7232,-0.012021857923497309,0.5369236914714312,0.36022643968396195,0.5403899721448467,-0.005153991200502819,-0.007328125,0.5327259107684588,0.0028937499999999953,0
2019-08-05,12803083,0.72,0.6822,-0.05249999999999993,0.7796682078078024,0.3577959767830167,0.5299442896935933,-0.011329096435479394,-0.005046874999999999,0.5460326442060226,0.0021562499999999993,0
2019-08-06,8161890,0.68,0.6465,-0.049264705882353065,0.4971290216580725,0.34148933412819793,0.4951253481894151,0.004424778761061921,-0.006853125000000001,0.5501028352510516,-0.005456250000000001,0
2019-08-07,5735669,0.64,0.6362,-0.00593750000000004,0.35267197468055234,0.32502983672329305,0.4603064066852368,0.003224860744649633,-0.01073125,0.548733017384873,3.749999999999934e-05,1
2019-08-08,8413171,0.6478,0.6941,0.07147267675208398,0.516762920239905,0.33243656811579786,0.4670961002785516,0.010054137664346405,-0.01074375,0.5582768782662464,0.0022625,0
2019-08-09,8356000,0.6663,0.6001,-0.09935464505478019,0.5128515392561007,0.34513953849763407,0.483199860724234,-0.018233259981138093,-0.0068249999999999995,0.5705410640404673,0.0066,0
2019-08-12,5508420,0.6063,0.5901,-0.026719445818901524,0.34123793808429886,0.31743265560116324,0.43097144846796653,0.040051865725399864,-0.00859375,0.5750546304217633,-0.006725,1
2019-08-13,15131997,0.59,0.5995,0.016101694915254348,0.9151646938438742,0.3122133634375221,0.4167827298050139,-0.01033161139810029,-0.012328125,0.5769854871970203,-0.0010187499999999986,0
2019-08-14,12618424,0.5701,0.57,-0.00017540782318908963,0.7524439892908242,0.304951814788364,0.3994603064066853,0.00016946280291474155,-0.010434375,0.5856378223400098,0.005331249999999999,0
2019-08-15,14444460,0.64,0.5824,-0.08999999999999997,0.8452569487620302,0.34520642833418036,0.4603064066852368,0.04904086738949121,-0.009846874999999998,0.5993355833804953,0.0005437500000000008,1
2019-08-16,9208319,0.58,0.605,0.043103448275862113,0.5377784687508721,0.3158750240886127,0.40807799442896936,-0.12280701754385977,-0.00561875,0.599596446959108,-0.001237499999999999,0
2019-08-19,7217703,0.6126,0.5918,-0.03395364022200464,0.42318425749587824,0.3364279653686787,0.43645543175487467,0.004120879120879239,-0.0044218750000000005,0.6095203994662222,0.003656250000000001,0
2019-08-20,11512042,0.6379,0.6108,-0.042483147828813315,0.6692554046361079,0.35289887143173276,0.45847841225626745,-0.012561983471074465,-0.0022437499999999997,0.6130671259068775,-0.0010624999999999992,0
2019-08-21,9623185,0.65,0.6011,-0.07523076923076931,0.5578670414260027,0.36201327116783105,0.46901114206128136,-0.07789793849273409,-0.0029125,0.6115730462215908,-0.0045874999999999996,0
2019-08-22,10099413,0.6203,0.5815,-0.06255037884894397,0.5831561514779946,0.3479730523063918,0.44315807799442897,-0.06417812704649642,-0.0004781249999999986,0.6050682025017939,0.0010812500000000006,0
